iter	Passed	Remaining
0	0	65
1	1	58
2	1	57
3	2	56
4	2	55
5	3	56
6	4	55
7	4	54
8	5	53
9	5	52
10	6	51
11	6	50
12	7	49
13	7	48
14	8	47
15	8	47
16	9	46
17	9	45
18	10	44
19	10	43
20	11	43
21	12	42
22	12	42
23	13	41
24	13	40
25	14	40
26	14	39
27	15	38
28	15	38
29	16	37
30	16	37
31	17	36
32	17	36
33	18	35
34	18	34
35	19	34
36	19	33
37	20	33
38	20	32
39	21	32
40	21	31
41	22	31
42	23	30
43	23	29
44	23	29
45	24	28
46	24	28
47	25	27
48	26	27
49	26	26
50	27	26
51	27	25
52	28	25
53	28	24
54	29	24
55	29	23
56	30	23
57	31	22
58	31	22
59	32	21
60	32	21
61	33	20
62	34	19
63	34	19
64	35	18
65	35	18
66	36	17
67	36	17
68	37	16
69	37	16
70	38	15
71	38	15
72	39	14
73	39	13
74	40	13
75	40	12
76	41	12
77	41	11
78	42	11
79	42	10
80	43	10
81	43	9
82	44	9
83	44	8
84	45	8
85	46	7
86	46	6
87	47	6
88	47	5
89	48	5
90	48	4
91	49	4
92	49	3
93	50	3
94	50	2
95	51	2
96	51	1
97	52	1
98	52	0
99	53	0
